customer_id,customer_name,segment,region,registration_date
C0001,Клиент 0001,B2C,Казань,2024-04-26
C0002,Клиент 0002,B2B,Новосибирск,2024-07-05
C0003,Клиент 0003,Партнеры,Краснодар,2024-12-25
C0004,Клиент 0004,B2B,Новосибирск,2025-06-20
C0005,Клиент 0005,Партнеры,Санкт-Петербург,2024-11-16
C0006,Клиент 0006,B2B,Казань,2025-12-06
C0007,Клиент 0007,B2C,Москва,2024-08-21
C0008,Клиент 0008,B2C,Краснодар,2025-03-06
C0009,Клиент 0009,B2B,Москва,2025-11-10
C0010,Клиент 0010,Партнеры,Москва,2024-07-26
C0011,Клиент 0011,B2C,Краснодар,2025-08-03
C0012,Клиент 0012,B2B,Москва,2024-12-07
C0013,Клиент 0013,B2B,Москва,2024-04-18
C0014,Клиент 0014,B2B,Казань,2025-02-09
C0015,Клиент 0015,B2B,Москва,2024-06-27
C0016,Клиент 0016,B2C,Санкт-Петербург,2025-04-19
C0017,Клиент 0017,B2B,Москва,2024-07-09
C0018,Клиент 0018,Партнеры,Москва,2025-05-25
C0019,Клиент 0019,B2B,Москва,2024-11-09
C0020,Клиент 0020,B2C,Москва,2025-12-13
C0021,Клиент 0021,B2C,Казань,2024-11-01
C0022,Клиент 0022,B2B,Санкт-Петербург,2024-04-22
C0023,Клиент 0023,B2B,Краснодар,2025-10-24
C0024,Клиент 0024,B2C,Санкт-Петербург,2024-08-21
C0025,Клиент 0025,B2C,Санкт-Петербург,2024-05-04
C0026,Клиент 0026,B2C,Москва,2025-09-16
C0027,Клиент 0027,B2C,Москва,2024-05-23
C0028,Клиент 0028,B2B,Краснодар,2025-07-26
C0029,Клиент 0029,B2C,Казань,2025-11-30
C0030,Клиент 0030,B2B,Краснодар,2025-05-05
C0031,Клиент 0031,B2B,Краснодар,2025-11-30
C0032,Клиент 0032,B2B,Екатеринбург,2024-07-11
C0033,Клиент 0033,B2B,Санкт-Петербург,2025-05-28
C0034,Клиент 0034,B2C,Казань,2024-05-28
C0035,Клиент 0035,B2C,Екатеринбург,2024-09-16
C0036,Клиент 0036,B2C,Екатеринбург,2024-07-18
C0037,Клиент 0037,B2C,Новосибирск,2024-09-07
C0038,Клиент 0038,B2C,Екатеринбург,2024-07-21
C0039,Клиент 0039,B2C,Санкт-Петербург,2025-09-01
C0040,Клиент 0040,B2B,Москва,2025-12-06
C0041,Клиент 0041,B2C,Москва,2024-04-13
C0042,Клиент 0042,B2C,Москва,2025-10-13
C0043,Клиент 0043,Партнеры,Москва,2024-02-03
C0044,Клиент 0044,B2B,Санкт-Петербург,2024-09-09
C0045,Клиент 0045,B2B,Москва,2025-11-03
C0046,Клиент 0046,B2C,Москва,2024-09-09
C0047,Клиент 0047,B2B,Санкт-Петербург,2025-11-19
C0048,Клиент 0048,B2C,Санкт-Петербург,2025-08-04
C0049,Клиент 0049,B2B,Санкт-Петербург,2025-06-27
C0050,Клиент 0050,B2B,Санкт-Петербург,2024-07-13
C0051,Клиент 0051,B2B,Москва,2025-07-12
C0052,Клиент 0052,B2C,Казань,2024-09-01
C0053,Клиент 0053,B2C,Екатеринбург,2025-03-24
C0054,Клиент 0054,B2B,Москва,2025-07-09
C0055,Клиент 0055,B2C,Казань,2025-04-12
C0056,Клиент 0056,B2B,Санкт-Петербург,2024-09-25
C0057,Клиент 0057,B2C,Санкт-Петербург,2025-07-27
